WORD,LINK
on,on/e9abfe31_nohash_1.wav
on,on/b29f8b23_nohash_0.wav
on,on/890cc926_nohash_4.wav
on,on/57b38f48_nohash_0.wav
on,on/33903159_nohash_1.wav
off,off/13dce503_nohash_0.wav
off,off/bb6d4301_nohash_2.wav
off,off/41777abb_nohash_0.wav
off,off/6c968bd9_nohash_3.wav
off,off/0132a06d_nohash_3.wav
up,up/7e556a2c_nohash_0.wav
up,up/bf8d5617_nohash_0.wav
up,up/27c24504_nohash_1.wav
up,up/4a671512_nohash_0.wav
up,up/0132a06d_nohash_0.wav
down,down/a7acbbeb_nohash_3.wav
down,down/b9f46737_nohash_3.wav
down,down/4c6944d6_nohash_1.wav
down,down/88a487ce_nohash_0.wav
down,down/e6327279_nohash_2.wav
right,right/0d2bcf9d_nohash_0.wav
right,right/2e75d37a_nohash_5.wav
right,right/4c6944d6_nohash_0.wav
right,right/af6fbbf5_nohash_0.wav
right,right/6add0595_nohash_0.wav
left,left/f250345e_nohash_0.wav
left,left/778a4a01_nohash_1.wav
left,left/83f9c4ab_nohash_1.wav
left,left/f68160c0_nohash_0.wav
left,left/460209ac_nohash_0.wav
yes,yes/e900b652_nohash_3.wav
yes,yes/caa7feaf_nohash_0.wav
yes,yes/29dce108_nohash_4.wav
yes,yes/8f3f252c_nohash_0.wav
yes,yes/a929f9b9_nohash_4.wav
no,no/e9abfe31_nohash_1.wav
no,no/14775481_nohash_0.wav
no,no/c120e80e_nohash_4.wav
no,no/333784b7_nohash_4.wav
no,no/c22ebf46_nohash_1.wav
go,go/c4533c47_nohash_0.wav
go,go/09a7aa2a_nohash_0.wav
go,go/413997c1_nohash_0.wav
go,go/7e556a2c_nohash_0.wav
go,go/20fd451f_nohash_2.wav
stop,stop/f035e2ea_nohash_4.wav
stop,stop/1473be6a_nohash_0.wav
stop,stop/0d6d7360_nohash_2.wav
stop,stop/eb0676ec_nohash_1.wav
stop,stop/48463cbc_nohash_1.wav
