WORD,LINK
was,was/common_voice_en_19437588.opus
was,was/common_voice_en_21451118.opus
was,was/common_voice_en_609769.opus
was,was/common_voice_en_20471936.opus
was,was/common_voice_en_17261467.opus
was,was/common_voice_en_18765074.opus
was,was/common_voice_en_20203588.opus
was,was/common_voice_en_20523874.opus
was,was/common_voice_en_643024.opus
was,was/common_voice_en_22267064.opus
was,was/common_voice_en_637364.opus
was,was/common_voice_en_516966.opus
was,was/common_voice_en_521430.opus
was,was/common_voice_en_165691.opus
was,was/common_voice_en_665093.opus
was,was/common_voice_en_690558.opus
was,was/common_voice_en_20189376.opus
was,was/common_voice_en_595398.opus
was,was/common_voice_en_21305402.opus
was,was/common_voice_en_18886977.opus
was,was/common_voice_en_19967807.opus
was,was/common_voice_en_18349158.opus
was,was/common_voice_en_17873139.opus
was,was/common_voice_en_28384.opus
was,was/common_voice_en_536648.opus
was,was/common_voice_en_19609486.opus
was,was/common_voice_en_97997.opus
was,was/common_voice_en_17190__2.opus
was,was/common_voice_en_214961.opus
was,was/common_voice_en_18352529.opus
was,was/common_voice_en_651728.opus
was,was/common_voice_en_21874138.opus
was,was/common_voice_en_17254515.opus
was,was/common_voice_en_19534073.opus
was,was/common_voice_en_18679051.opus
was,was/common_voice_en_607573.opus
was,was/common_voice_en_20581232.opus
was,was/common_voice_en_20301390.opus
was,was/common_voice_en_21316188.opus
was,was/common_voice_en_18707023.opus
was,was/common_voice_en_21335671.opus
was,was/common_voice_en_20971209.opus
was,was/common_voice_en_17857775.opus
was,was/common_voice_en_104258.opus
was,was/common_voice_en_675312.opus
was,was/common_voice_en_18483415.opus
was,was/common_voice_en_19201237.opus
was,was/common_voice_en_614084.opus
was,was/common_voice_en_19616692.opus
was,was/common_voice_en_21943879.opus
was,was/common_voice_en_20876925.opus
was,was/common_voice_en_20115261.opus
was,was/common_voice_en_30053.opus
was,was/common_voice_en_20005847.opus
was,was/common_voice_en_20242673.opus
was,was/common_voice_en_19344224.opus
was,was/common_voice_en_20658920.opus
was,was/common_voice_en_20947555.opus
was,was/common_voice_en_22149924.opus
was,was/common_voice_en_90423.opus
was,was/common_voice_en_22445546.opus
was,was/common_voice_en_579625.opus
was,was/common_voice_en_41451.opus
was,was/common_voice_en_19112612.opus
was,was/common_voice_en_20446696.opus
was,was/common_voice_en_18699083.opus
was,was/common_voice_en_110416.opus
was,was/common_voice_en_21504893.opus
was,was/common_voice_en_531663.opus
was,was/common_voice_en_21025462.opus
was,was/common_voice_en_129104.opus
was,was/common_voice_en_19869911.opus
was,was/common_voice_en_21592836.opus
was,was/common_voice_en_19572950.opus
was,was/common_voice_en_83716.opus
was,was/common_voice_en_19640933.opus
was,was/common_voice_en_20129518.opus
was,was/common_voice_en_80053.opus
was,was/common_voice_en_53204.opus
was,was/common_voice_en_12673190.opus
was,was/common_voice_en_20243977.opus
was,was/common_voice_en_21089855.opus
was,was/common_voice_en_20167827.opus
was,was/common_voice_en_17261887.opus
was,was/common_voice_en_19654239.opus
was,was/common_voice_en_160784.opus
was,was/common_voice_en_19267112.opus
was,was/common_voice_en_19660121.opus
was,was/common_voice_en_20177141.opus
was,was/common_voice_en_19199332.opus
was,was/common_voice_en_73135.opus
was,was/common_voice_en_962__2.opus
was,was/common_voice_en_20685644.opus
was,was/common_voice_en_19722290__2.opus
was,was/common_voice_en_495423.opus
was,was/common_voice_en_19827683.opus
was,was/common_voice_en_623783__2.opus
was,was/common_voice_en_21170136.opus
was,was/common_voice_en_18723721.opus
was,was/common_voice_en_19670257.opus
was,was/common_voice_en_20783447.opus
was,was/common_voice_en_20707605.opus
